Combined Extraction Report for Page 3
Source: C:/Users/reem_/Desktop/commonARBoard/UserManualPerDemo/Nucleo-F767ZI-Schematic.pdf
Includes 0deg, 90deg CW, 45deg CCW passes.
--------------------------------------------------------------------------------
Label           | Type  | Conf  | Found @  | Center (x,y)
--------------------------------------------------------------------------------
X1              | CP    | 0.99 | 0_deg    | (1536, 2811)
PA0             | CP    | 0.99 | 0_deg    | (3284, 3963)
PA1             | CP    | 0.99 | 0_deg    | (3279, 4087)
PB14            | CP    | 0.99 | 0_deg    | (5494, 3963)
PA4             | CP    | 0.99 | 90_CW    | (3837, 4647)
JP1             | CP    | 0.99 | 0_deg    | (3794, 805)
PB12            | CP    | 0.99 | 0_deg    | (5494, 4211)
C2              | CP    | 0.99 | 0_deg    | (683, 3778)
PB10            | CP    | 0.99 | 90_CW    | (4707, 4622)
PB0             | CP    | 0.99 | 90_CW    | (4334, 4650)
PB11            | CP    | 0.99 | 90_CW    | (4830, 4626)
A4              | CP    | 0.99 | 0_deg    | (10667, 9132)
U1              | CP    | 0.99 | 0_deg    | (3532, 7743)
PB1             | CP    | 0.99 | 90_CW    | (4457, 4654)
JP2             | CP    | 0.99 | 0_deg    | (4294, 6008)
PA2             | CP    | 0.99 | 0_deg    | (3283, 4211)
C14             | CP    | 0.99 | 0_deg    | (10743, 7359)
PC14            | CP    | 0.99 | 0_deg    | (3308, 3097)
C6              | CP    | 0.99 | 0_deg    | (931, 2539)
PB15            | CP    | 0.99 | 0_deg    | (5492, 3839)
T1              | CP    | 0.99 | 0_deg    | (5635, 8114)
C7              | CP    | 0.99 | 0_deg    | (7367, 3394)
PA6             | CP    | 0.99 | 90_CW    | (4086, 4647)
PB13            | CP    | 0.99 | 0_deg    | (5492, 4087)
D1              | CP    | 0.99 | 0_deg    | (8853, 1163)
PB6             | CP    | 0.99 | 90_CW    | (4458, 2414)
PA3             | CP    | 0.99 | 90_CW    | (3714, 4649)
C15             | CP    | 0.99 | 0_deg    | (12105, 7730)
SB11            | CP    | 0.99 | 0_deg    | (12146, 557)
C5              | CP    | 0.99 | 0_deg    | (2046, 2539)
C4              | CP    | 0.99 | 0_deg    | (5012, 8474)
PB8             | CP    | 0.99 | 90_CW    | (4086, 2415)
SB11            | CP    | 0.99 | 0_deg    | (11898, 681)
PC13            | CP    | 0.99 | 0_deg    | (3305, 2973)
CN3             | CP    | 0.99 | 0_deg    | (7900, 5562)
PA11            | CP    | 0.99 | 0_deg    | (5486, 3343)
CN2             | CP    | 0.99 | 0_deg    | (7903, 6058)
C3              | CP    | 0.99 | 0_deg    | (2281, 792)
C10             | CP    | 0.99 | 0_deg    | (11239, 7730)
SB11            | CP    | 0.99 | 0_deg    | (7434, 3654)
PA10            | CP    | 0.99 | 0_deg    | (5491, 3467)
PA12            | CP    | 0.99 | 0_deg    | (5491, 3220)
PA5             | CP    | 0.98 | 90_CW    | (3962, 4649)
PB5             | CP    | 0.98 | 90_CW    | (4584, 2416)
PA8             | CP    | 0.98 | 0_deg    | (5517, 3715)
C13             | CP    | 0.98 | 0_deg    | (1812, 792)
PA7             | CP    | 0.98 | 90_CW    | (4210, 4647)
PB9             | CP    | 0.98 | 90_CW    | (3962, 2414)
PB7             | CP    | 0.98 | 90_CW    | (4335, 2414)
C9              | CP    | 0.98 | 0_deg    | (12699, 7359)
U2              | CP    | 0.98 | 0_deg    | (5521, 1920)
B01             | CP    | 0.98 | 0_deg    | (12850, 9132)
D5              | CP    | 0.98 | 0_deg    | (10220, 6863)
PC15            | CP    | 0.98 | 0_deg    | (3306, 3221)
C12             | CP    | 0.98 | 0_deg    | (1318, 792)
CN5             | CP    | 0.98 | 0_deg    | (2780, 5253)
PA9             | CP    | 0.98 | 0_deg    | (5518, 3592)
U3              | CP    | 0.98 | 0_deg    | (11346, 6876)
C1              | CP    | 0.98 | 0_deg    | (791, 792)
D2              | CP    | 0.98 | 0_deg    | (3897, 296)
LD4             | CP    | 0.98 | 0_deg    | (11494, 4644)
D4              | CP    | 0.98 | 0_deg    | (10222, 5871)
CN1             | CP    | 0.98 | 0_deg    | (842, 6999)
