Source: pico-datasheet.pdf
Page: 26
----------------------------------------
Label           | Confidence | BBox (x,y,w,h)
----------------------------------------
1               | 0.74       | (4118, 3175, 5, 12)
Q               | 0.61       | (2604, 3175, 8, 12)
4               | 0.84       | (1847, 3175, 9, 12)
U               | 0.65       | (3858, 3155, 9, 11)
OI              | 0.73       | (4310, 3152, 18, 14)
OOI             | 0.64       | (4150, 3152, 29, 14)
LJ              | 0.65       | (3755, 3152, 19, 14)
IO              | 0.66       | (3688, 3152, 17, 14)
L               | 0.63       | (4381, 3152, 6, 14)
L               | 0.65       | (4242, 3152, 6, 14)
O               | 0.62       | (3915, 3152, 11, 14)
3               | 0.64       | (4449, 3104, 11, 16)
UL              | 0.65       | (3863, 3104, 39, 16)
3               | 0.62       | (3722, 3104, 11, 16)
O               | 0.66       | (4420, 3087, 11, 12)
OI              | 0.66       | (3792, 3082, 18, 15)
O               | 0.70       | (2716, 3045, 6, 8)
D               | 0.74       | (2600, 3045, 7, 8)
U               | 0.69       | (4392, 3039, 15, 11)
JUIV            | 0.64       | (4287, 3035, 81, 16)
ULO             | 0.70       | (3834, 3035, 64, 16)
X1D             | 0.76       | (2682, 3014, 31, 38)
X4OB            | 0.70       | (2566, 3014, 40, 38)
FPI             | 0.65       | (4187, 3016, 43, 12)
II              | 0.66       | (3679, 3013, 22, 15)
OUQ             | 0.61       | (2711, 2949, 34, 34)
Q               | 0.60       | (2619, 2968, 10, 15)
O               | 0.63       | (4386, 2961, 16, 17)
I               | 0.61       | (4299, 2961, 16, 17)
WF              | 0.65       | (4143, 2961, 88, 17)
1               | 0.65       | (2684, 2945, 6, 15)
4               | 0.62       | (2568, 2945, 6, 15)
I               | 0.69       | (4021, 2938, 5, 21)
F               | 0.60       | (3940, 2938, 12, 21)
O               | 0.69       | (2582, 2922, 10, 15)
F               | 0.62       | (4273, 2910, 11, 20)
OILIOICIII      | 0.66       | (1882, 2806, 88, 80)
IUI             | 0.65       | (1846, 2868, 51, 19)
OILL            | 0.65       | (1809, 2842, 52, 45)
O               | 0.70       | (1773, 2872, 16, 20)
OIOIIOIV        | 0.65       | (1592, 2842, 107, 50)
I               | 0.63       | (1539, 2872, 13, 14)
ICOII           | 0.66       | (1429, 2837, 70, 55)
IL              | 0.63       | (1284, 2872, 33, 15)
LLOIIIII        | 0.65       | (2136, 2808, 69, 84)
CLLVIN          | 0.66       | (2081, 2806, 51, 80)
IQ              | 0.63       | (1737, 2838, 16, 49)
IULVOIO         | 0.65       | (1338, 2808, 52, 79)
LLULIILO        | 0.65       | (1992, 2808, 69, 79)
OI              | 0.64       | (1520, 2842, 33, 20)
OLIIL           | 0.66       | (1410, 2812, 53, 44)
V               | 0.66       | (4501, 2840, 11, 12)
II              | 0.65       | (1574, 2837, 34, 19)
III             | 0.63       | (1247, 2838, 52, 18)
IL              | 0.64       | (1773, 2808, 16, 49)
4               | 0.61       | (2649, 2827, 6, 15)
O               | 0.62       | (2558, 2827, 10, 15)
O               | 0.69       | (1072, 2813, 6, 8)
IO              | 0.68       | (1701, 2808, 34, 18)
LOOI            | 0.66       | (1611, 2806, 69, 20)
VI              | 0.65       | (1537, 2812, 34, 15)
I               | 0.64       | (1811, 2808, 13, 18)
I               | 0.69       | (1501, 2806, 16, 20)
X1O             | 0.69       | (1038, 2783, 31, 38)
O               | 0.64       | (1206, 2783, 11, 15)
D               | 0.75       | (1176, 2767, 7, 8)
3OU             | 0.69       | (1166, 2736, 27, 31)
1I              | 0.76       | (1397, 2727, 12, 43)
1               | 0.63       | (1353, 2755, 5, 15)
U               | 0.60       | (4802, 2739, 26, 21)
OO              | 0.66       | (1067, 2736, 34, 16)
1U              | 0.73       | (1040, 2713, 20, 15)
XX              | 0.69       | (2524, 2715, 37, 12)
LL              | 0.67       | (2686, 2699, 37, 11)
LLLL            | 0.66       | (2407, 2699, 85, 11)
B               | 0.62       | (1155, 2690, 13, 15)
I               | 0.68       | (2547, 2670, 14, 12)
4               | 0.84       | (2454, 2654, 15, 10)
O               | 0.61       | (1282, 2646, 10, 16)
O               | 0.63       | (1637, 2642, 10, 15)
U               | 0.69       | (1523, 2641, 12, 15)
O               | 0.73       | (4117, 2628, 6, 8)
D               | 0.70       | (3792, 2628, 7, 8)
D               | 0.70       | (4107, 2620, 7, 8)
O               | 0.72       | (3783, 2620, 6, 8)
O4I             | 0.68       | (2593, 2587, 38, 22)
O               | 0.64       | (1206, 2598, 11, 15)
BL24            | 0.73       | (2776, 2597, 61, 16)
O               | 0.65       | (2663, 2587, 14, 11)
O               | 0.66       | (2477, 2587, 15, 11)
O               | 0.71       | (2431, 2587, 15, 11)
D               | 0.73       | (1176, 2582, 7, 8)
I               | 0.62       | (4107, 2574, 10, 16)
I               | 0.62       | (3783, 2574, 10, 16)
O3U             | 0.69       | (1166, 2551, 27, 31)
3               | 0.64       | (4147, 2551, 10, 16)
3               | 0.65       | (3823, 2551, 10, 16)
LLLLILXNX       | 0.71       | (2422, 2526, 154, 32)
4               | 0.85       | (3912, 2541, 15, 11)
LL              | 0.67       | (2700, 2530, 38, 11)
L               | 0.62       | (4096, 2528, 6, 15)
1               | 0.65       | (3958, 2528, 5, 15)
4               | 0.63       | (3772, 2528, 6, 15)
N               | 0.67       | (2676, 2515, 15, 12)
LI              | 0.75       | (2514, 2493, 15, 25)
LO              | 0.62       | (3787, 2505, 21, 15)
O               | 0.64       | (1169, 2505, 11, 15)
I               | 0.72       | (2561, 2501, 15, 12)
O4              | 0.76       | (2445, 2484, 38, 11)
O               | 0.71       | (3225, 2466, 7, 8)
O               | 0.72       | (2067, 2466, 7, 8)
4               | 0.61       | (3837, 2458, 6, 15)
XI3OB           | 0.69       | (3192, 2412, 39, 54)
XIOOB           | 0.68       | (2034, 2412, 39, 54)
33              | 0.63       | (1374, 2456, 36, 16)
X               | 0.74       | (4052, 2437, 14, 12)
X4              | 0.73       | (3863, 2412, 21, 15)
O               | 0.66       | (2891, 2403, 10, 15)
ULUU            | 0.70       | (2844, 2333, 12, 85)
4               | 0.63       | (2319, 2403, 6, 15)
LLLL            | 0.68       | (2271, 2333, 12, 85)
LOO1QU          | 0.69       | (4096, 2343, 38, 61)
O               | 0.70       | (3052, 2389, 10, 15)
LLLL            | 0.68       | (3005, 2320, 12, 84)
4               | 0.78       | (2214, 2389, 11, 14)
