Source: C:/Users/reem_/Desktop/commonARBoard/UserManualPerDemo/pico-datasheet.pdf
Page: 28
------------------------------------------------------------
Label (Type)         | Conf   | BBox (x,y,w,h)
------------------------------------------------------------
J00             [C] | 0.83 | (860, 1122, 45, 37)
J1              [C] | 0.96 | (1172, 1180, 42, 37)
DD2             [C] | 0.85 | (932, 1343, 45, 36)
R2              [C] | 0.89 | (1328, 1353, 45, 37)
DD1             [C] | 0.82 | (1436, 1371, 43, 36)
R8              [C] | 1.00 | (1112, 1375, 45, 36)
R3              [C] | 0.89 | (1112, 1429, 45, 36)
C1              [C] | 1.00 | (1226, 1456, 43, 37)
U2              [C] | 0.90 | (1302, 1561, 46, 37)
SW1             [C] | 0.99 | (1013, 1610, 71, 37)
L1              [C] | 0.95 | (1437, 1644, 42, 37)
C2              [C] | 0.89 | (1221, 1670, 48, 37)
U3              [C] | 0.93 | (1015, 1912, 47, 36)
R4              [C] | 0.93 | (892, 1957, 46, 36)
C18             [C] | 0.91 | (897, 2055, 75, 37)
C4              [C] | 0.88 | (944, 2102, 47, 37)
C7              [C] | 0.90 | (1376, 2115, 46, 36)
R100            [C] | 0.84 | (1356, 2188, 73, 37)
U1              [C] | 0.92 | (1180, 2209, 43, 37)
R1              [C] | 0.84 | (1386, 2226, 41, 37)
C5              [C] | 0.92 | (944, 2252, 47, 36)
C8              [C] | 0.84 | (1136, 2406, 47, 37)
C6              [C] | 0.81 | (1243, 2406, 46, 37)
R15             [C] | 0.82 | (1020, 2449, 73, 36)
R14             [C] | 0.86 | (1185, 2491, 74, 37)
X1              [C] | 0.89 | (1080, 2575, 42, 37)
J2              [C] | 0.82 | (1053, 3133, 44, 36)
------------------------------------------------------------
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
RR              [?] | 0.52 | (580, 185, 85, 34)
D               [?] | 0.51 | (754, 187, 18, 30)
26              [?] | 0.60 | (431, 997, 34, 26)
R               [?] | 0.52 | (337, 1053, 17, 26)
R               [?] | 0.52 | (337, 1109, 17, 26)
L               [?] | 0.69 | (1429, 1315, 54, 21)
L               [?] | 0.55 | (1429, 1437, 54, 19)
6               [?] | 0.92 | (1430, 2314, 30, 28)
D               [?] | 0.53 | (798, 2999, 41, 42)
D               [?] | 0.53 | (798, 3108, 41, 42)
D               [?] | 0.53 | (1559, 3108, 41, 42)
D               [?] | 0.53 | (798, 3217, 41, 42)
D               [?] | 0.53 | (1559, 3217, 41, 42)
1               [?] | 0.59 | (999, 4796, 12, 36)
R               [?] | 0.52 | (622, 4798, 27, 34)
