Source: C:/Users/reem_/Desktop/commonARBoard/UserManualPerDemo/pico-datasheet.pdf
------------------------------------------------------------
Label (Type)         | Conf   | BBox (x,y,w,h)
------------------------------------------------------------
C6              [C] | 0.94 | (2629, 3133, 46, 37)
------------------------------------------------------------
E               [?] | 0.51 | (1519, 1752, 40, 12)
D               [?] | 0.58 | (666, 2118, 28, 27)
D               [?] | 0.77 | (1974, 2177, 35, 34)
D               [?] | 0.53 | (1926, 2219, 41, 41)
E               [?] | 0.55 | (569, 2226, 26, 23)
D               [?] | 0.73 | (2051, 2253, 34, 35)
D               [?] | 0.54 | (2002, 2295, 41, 41)
D               [?] | 0.64 | (2128, 2330, 35, 35)
D               [?] | 0.54 | (2079, 2372, 41, 41)
D               [?] | 0.64 | (2205, 2407, 35, 35)
D               [?] | 0.59 | (1944, 2411, 48, 48)
D               [?] | 0.54 | (2156, 2449, 41, 42)
L               [?] | 0.69 | (2011, 2453, 29, 30)
D               [?] | 0.95 | (1985, 2472, 33, 33)
D               [?] | 0.93 | (1988, 2474, 28, 28)
D               [?] | 0.70 | (2282, 2484, 34, 34)
L               [?] | 0.68 | (1688, 2506, 30, 30)
D               [?] | 0.59 | (2043, 2511, 49, 48)
J               [?] | 0.95 | (1674, 2520, 22, 34)
D               [?] | 0.70 | (2359, 2561, 34, 34)
D               [?] | 0.63 | (2435, 2637, 35, 35)
L               [?] | 0.83 | (1923, 2662, 29, 30)
C               [?] | 0.95 | (1902, 2678, 31, 32)
D               [?] | 0.54 | (2387, 2680, 41, 41)
2               [?] | 0.86 | (2048, 2681, 34, 34)
0               [?] | 0.94 | (1425, 2685, 30, 29)
0               [?] | 0.96 | (1427, 2687, 26, 26)
U               [?] | 0.94 | (2025, 2697, 33, 34)
D               [?] | 0.64 | (2512, 2714, 35, 35)
3C0             [?] | 0.77 | (2244, 2717, 96, 50)
30C             [?] | 0.77 | (2244, 2717, 96, 50)
30C             [?] | 0.77 | (2244, 2717, 96, 50)
30C             [?] | 0.77 | (2244, 2717, 96, 50)
30C             [?] | 0.77 | (2244, 2717, 96, 50)
30C             [?] | 0.77 | (2244, 2717, 96, 50)
3               [?] | 0.82 | (1820, 2722, 30, 31)
D               [?] | 0.57 | (1614, 2749, 30, 31)
DD              [?] | 0.64 | (2417, 2757, 88, 41)
0               [?] | 0.50 | (1774, 2767, 28, 28)
D               [?] | 0.73 | (2589, 2791, 34, 35)
D               [?] | 0.58 | (2231, 2795, 33, 33)
D               [?] | 0.71 | (1347, 2805, 34, 34)
D               [?] | 0.92 | (1612, 2812, 27, 27)
2               [?] | 0.88 | (2069, 2814, 34, 34)
C               [?] | 0.86 | (2050, 2832, 31, 32)
D               [?] | 0.54 | (1465, 2833, 41, 41)
D               [?] | 0.52 | (2540, 2833, 41, 41)
7R              [?] | 0.92 | (2204, 2842, 56, 51)
D               [?] | 0.73 | (2666, 2868, 34, 35)
3               [?] | 0.96 | (2321, 2879, 31, 30)
D               [?] | 0.70 | (1423, 2881, 34, 34)
1               [?] | 0.90 | (2343, 2898, 30, 30)
L               [?] | 0.68 | (1900, 2902, 30, 30)
2131R           [?] | 0.63 | (2140, 2906, 101, 76)
D               [?] | 0.53 | (1540, 2909, 44, 44)
D               [?] | 0.54 | (1542, 2910, 41, 41)
6               [?] | 0.97 | (2480, 2912, 30, 28)
C               [?] | 0.88 | (2359, 2917, 31, 31)
4               [?] | 0.94 | (2278, 2924, 29, 27)
9R              [?] | 0.96 | (2448, 2927, 86, 44)
S               [?] | 0.90 | (1860, 2940, 30, 31)
L               [?] | 0.86 | (2301, 2943, 29, 30)
D               [?] | 0.64 | (2743, 2945, 35, 35)
D               [?] | 0.74 | (1500, 2958, 35, 34)
1J              [?] | 0.56 | (2271, 2963, 77, 37)
E               [?] | 0.51 | (947, 2981, 16, 30)
D               [?] | 0.54 | (1619, 2987, 41, 41)
7               [?] | 0.95 | (2489, 3016, 31, 33)
D               [?] | 0.77 | (2819, 3022, 35, 34)
D               [?] | 0.74 | (1577, 3035, 35, 34)
5               [?] | 0.93 | (1975, 3036, 33, 32)
1L              [?] | 0.81 | (2172, 3040, 77, 37)
1               [?] | 0.91 | (1998, 3055, 30, 30)
D               [?] | 0.54 | (2771, 3064, 41, 41)
0               [?] | 0.94 | (2551, 3069, 26, 26)
C               [?] | 0.92 | (2014, 3075, 32, 30)
J               [?] | 0.50 | (2208, 3087, 31, 30)
RL              [?] | 0.85 | (2506, 3094, 102, 46)
D               [?] | 0.77 | (2896, 3099, 35, 34)
D               [?] | 0.71 | (1654, 3112, 34, 34)
3               [?] | 0.92 | (2093, 3132, 31, 30)
D               [?] | 0.53 | (1772, 3141, 41, 41)
D               [?] | 0.53 | (2848, 3141, 41, 41)
U               [?] | 0.94 | (2070, 3148, 34, 34)
1               [?] | 0.95 | (1952, 3166, 29, 29)
D               [?] | 0.73 | (2973, 3175, 34, 35)
1               [?] | 0.81 | (1971, 3185, 30, 30)
D               [?] | 0.71 | (1731, 3189, 34, 34)
D               [?] | 0.54 | (1849, 3217, 41, 41)
D               [?] | 0.54 | (2924, 3217, 41, 41)
UL              [?] | 0.84 | (2396, 3227, 56, 49)
4               [?] | 0.92 | (2042, 3250, 27, 30)
D               [?] | 0.64 | (3050, 3252, 35, 35)
D               [?] | 0.79 | (1808, 3265, 34, 34)
R               [?] | 0.93 | (2014, 3271, 37, 34)
D               [?] | 0.54 | (1926, 3294, 41, 41)
D               [?] | 0.54 | (3001, 3294, 41, 41)
CL8C4           [?] | 0.90 | (2093, 3297, 117, 69)
6               [?] | 0.82 | (2605, 3320, 28, 29)
D               [?] | 0.71 | (3127, 3329, 34, 34)
D               [?] | 0.71 | (1885, 3343, 34, 34)
D               [?] | 0.53 | (2002, 3371, 41, 41)
8               [?] | 0.83 | (2529, 3396, 31, 30)
4               [?] | 0.97 | (2647, 3401, 27, 30)
D               [?] | 0.71 | (3204, 3406, 34, 34)
C               [?] | 0.86 | (2510, 3413, 31, 32)
D               [?] | 0.71 | (1961, 3419, 34, 34)
9               [?] | 0.58 | (2283, 3421, 31, 32)
L               [?] | 0.88 | (2624, 3424, 30, 30)
C               [?] | 0.93 | (2265, 3440, 31, 32)
R               [?] | 0.92 | (2600, 3441, 36, 35)
D               [?] | 0.53 | (2079, 3448, 41, 41)
D               [?] | 0.64 | (3280, 3482, 35, 35)
5               [?] | 0.92 | (2495, 3487, 31, 33)
D               [?] | 0.71 | (2038, 3496, 34, 34)
71              [?] | 0.93 | (2676, 3498, 54, 46)
1               [?] | 0.61 | (2478, 3511, 29, 29)
D               [?] | 0.53 | (2156, 3525, 41, 41)
D               [?] | 0.53 | (3231, 3525, 41, 41)
C               [?] | 0.88 | (2716, 3534, 32, 31)
1               [?] | 0.93 | (2609, 3557, 30, 30)
D               [?] | 0.64 | (3357, 3559, 35, 35)
C               [?] | 0.60 | (2584, 3571, 38, 38)
D               [?] | 0.71 | (2115, 3573, 34, 34)
D               [?] | 0.53 | (2233, 3602, 41, 41)
D               [?] | 0.54 | (3308, 3602, 42, 41)
L               [?] | 0.85 | (2497, 3608, 30, 30)
C               [?] | 0.93 | (2513, 3628, 32, 31)
D               [?] | 0.64 | (3434, 3636, 35, 35)
D               [?] | 0.71 | (2192, 3650, 34, 34)
D               [?] | 0.53 | (2310, 3679, 41, 41)
D               [?] | 0.54 | (3386, 3679, 41, 41)
D               [?] | 0.71 | (2269, 3727, 34, 34)
D               [?] | 0.53 | (2386, 3755, 42, 41)
D               [?] | 0.74 | (2345, 3803, 35, 34)
D               [?] | 0.54 | (2464, 3832, 41, 41)
D               [?] | 0.53 | (3187, 3863, 40, 41)
D               [?] | 0.74 | (2422, 3880, 35, 34)
D               [?] | 0.53 | (2540, 3909, 41, 41)
D               [?] | 0.78 | (3235, 3912, 34, 34)
D               [?] | 0.54 | (3109, 3940, 41, 41)
D               [?] | 0.71 | (2499, 3957, 34, 34)
2               [?] | 0.92 | (2983, 3969, 33, 34)
D               [?] | 0.52 | (2617, 3986, 41, 41)
J               [?] | 0.93 | (2970, 3986, 22, 34)
D               [?] | 0.73 | (3158, 3989, 34, 34)
D               [?] | 0.52 | (3033, 4017, 41, 41)
D               [?] | 0.71 | (2576, 4034, 34, 34)
D               [?] | 0.54 | (2694, 4062, 41, 41)
D               [?] | 0.72 | (3081, 4066, 35, 34)
D               [?] | 0.79 | (2653, 4110, 34, 34)
D               [?] | 0.54 | (2771, 4139, 41, 41)
D               [?] | 0.79 | (2730, 4187, 34, 34)
D               [?] | 0.54 | (2848, 4216, 41, 41)
D               [?] | 0.79 | (2807, 4265, 34, 33)
