Source: C:/Users/reem_/Desktop/commonARBoard/UserManualPerDemo/pico-datasheet.pdf
------------------------------------------------------------
Label (Type)         | Conf   | BBox (x,y,w,h)
------------------------------------------------------------
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
R11             [C] | 0.95 | (3135, 908, 69, 36)
C16             [C] | 0.97 | (2462, 980, 73, 37)
C15             [C] | 0.90 | (3206, 1019, 74, 37)
C1              [C] | 0.95 | (3061, 1147, 43, 37)
C100            [C] | 0.95 | (3061, 1186, 75, 37)
C17             [C] | 0.94 | (2385, 1190, 73, 37)
R12             [C] | 0.92 | (3165, 1207, 73, 37)
R13             [C] | 0.89 | (3165, 1246, 73, 37)
C12             [C] | 0.86 | (3073, 1271, 75, 37)
C14             [C] | 0.85 | (3071, 1311, 76, 37)
R7              [C] | 0.92 | (3212, 1320, 44, 37)
C13             [C] | 0.89 | (3073, 1374, 76, 37)
R9              [C] | 0.98 | (2970, 1419, 45, 36)
C3              [C] | 0.90 | (3270, 1433, 48, 38)
R6              [C] | 0.94 | (2968, 1463, 44, 37)
R5              [C] | 0.83 | (3289, 1480, 46, 37)
------------------------------------------------------------
D               [?] | 0.52 | (4823, 420, 36, 25)
R               [?] | 0.55 | (220, 622, 34, 27)
D               [?] | 0.53 | (3639, 797, 44, 44)
D               [?] | 0.52 | (2120, 798, 41, 41)
D               [?] | 0.52 | (2229, 798, 41, 41)
D               [?] | 0.51 | (2663, 798, 41, 41)
D               [?] | 0.52 | (3097, 798, 41, 41)
D               [?] | 0.52 | (3206, 798, 41, 41)
D               [?] | 0.53 | (3315, 798, 41, 41)
D               [?] | 0.53 | (3424, 798, 41, 41)
D               [?] | 0.51 | (3858, 798, 41, 41)
D               [?] | 0.52 | (210, 827, 36, 25)
E               [?] | 0.53 | (4226, 945, 8, 26)
1               [?] | 0.57 | (4833, 952, 31, 14)
1               [?] | 0.57 | (220, 1091, 31, 14)
1               [?] | 0.94 | (3121, 1147, 11, 37)
D               [?] | 0.53 | (1802, 1177, 44, 44)
D               [?] | 0.52 | (1804, 1178, 41, 41)
E               [?] | 0.52 | (4415, 1193, 9, 28)
D               [?] | 0.52 | (1804, 1287, 41, 41)
H               [?] | 0.52 | (4430, 1309, 47, 18)
6               [?] | 0.92 | (2710, 1430, 28, 30)
D               [?] | 0.61 | (3136, 1529, 36, 22)
D               [?] | 0.53 | (2010, 1557, 44, 44)
D               [?] | 0.52 | (2011, 1559, 41, 41)
D               [?] | 0.52 | (2120, 1559, 41, 41)
D               [?] | 0.52 | (2229, 1559, 41, 41)
D               [?] | 0.51 | (2663, 1559, 41, 41)
D               [?] | 0.52 | (3206, 1559, 41, 41)
D               [?] | 0.52 | (3315, 1559, 41, 41)
D               [?] | 0.52 | (3424, 1559, 41, 41)
D               [?] | 0.52 | (3750, 1559, 41, 41)
D               [?] | 0.51 | (3858, 1559, 41, 41)
E               [?] | 0.50 | (4471, 1640, 30, 9)
